Timestamp,Message
2025-04-27 20:26:36.860666,Error downloading Edge WebDriver: 'utf-8' codec can't decode byte 0xff in position 0: invalid start byte
2025-04-27 20:29:33.676572,Detected Edge version: 135.0.3179.98
2025-04-27 20:29:33.677984,WebDriver not found at C:\Users\User\Downloads\[DRAFT] Auto (2)\[DRAFT] Auto\edgedriver_win64\msedgedriver.exe. Downloading...
2025-04-27 20:29:33.678833,Attempt 1/3: Getting WebDriver version info
2025-04-27 20:29:34.434351,Error downloading Edge WebDriver: 'utf-8' codec can't decode byte 0xff in position 0: invalid start byte
2025-04-27 20:43:14.755683,Detected Edge version: 135.0.3179.98
2025-04-27 20:43:14.756323,Using existing WebDriver at C:\Users\User\Downloads\[DRAFT] Auto (2)\[DRAFT] Auto\edgedriver_win64\msedgedriver.exe
2025-04-27 20:43:14.756728,Creating Edge WebDriver service...
2025-04-27 20:43:17.569428,Edge WebDriver initialized successfully
2025-04-27 20:48:48.403142,Edge WebDriver initialized successfully
2025-04-27 20:52:18.864981,Edge WebDriver initialized successfully
2025-04-27 20:56:42.036886,Edge WebDriver initialized successfully
2025-04-27 21:17:27.008960,Edge WebDriver initialized successfully
2025-04-27 21:23:46.236370,Edge WebDriver initialized successfully
2025-04-27 21:35:03.566833,Edge WebDriver initialized successfully
2025-04-27 21:46:16.035064,Edge WebDriver initialized successfully
2025-04-27 22:01:37.944655,Edge WebDriver initialized successfully
2025-04-27 22:03:58.275981,Edge WebDriver initialized successfully
2025-04-27 22:13:18.550644,Edge WebDriver initialized successfully
2025-04-27 22:50:28.095878,Edge WebDriver initialized successfully
2025-04-27 22:51:20.872230,Edge WebDriver initialized successfully
2025-04-27 23:06:39.356783,Edge WebDriver initialized successfully
2025-04-27 23:20:54.749614,Edge WebDriver initialized successfully
2025-04-28 00:24:13.793392,Error initializing Edge WebDriver: WebDriver.__init__() got an unexpected keyword argument 'executable_path'
2025-04-28 00:26:55.126501,Error initializing Edge WebDriver: WebDriver.__init__() got an unexpected keyword argument 'executable_path'
2025-04-28 21:25:34.643730,"Error initializing Edge WebDriver: Message: session not created: This version of Microsoft Edge WebDriver only supports Microsoft Edge version 135
Current browser version is 107.0.1418.56 with binary path C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
Stacktrace:
	GetHandleVerifier [0x00007FF787457A55+24981]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF7873AAC60+444240]
	Microsoft::Applications::Events::EventProperty::to_string [0x00007FF7876DE0EA+2011274]
	(No symbol) [0x00007FF7871BA040]
	(No symbol) [0x00007FF7871B93FA]
	(No symbol) [0x00007FF7871B358E]
	(No symbol) [0x00007FF7871B036F]
	(No symbol) [0x00007FF7871F53D5]
	(No symbol) [0x00007FF7871F443B]
	(No symbol) [0x00007FF7871E8E03]
	(No symbol) [0x00007FF7871BD686]
	(No symbol) [0x00007FF7871BCB92]
	(No symbol) [0x00007FF7871BD4B3]
	(No symbol) [0x00007FF7872B900D]
	Microsoft::Applications::Events::EventProperty::~EventProperty [0x00007FF7872C6943+41539]
	Microsoft::Applications::Events::EventProperty::~EventProperty [0x00007FF7872BFC79+13689]
	Microsoft::Applications::Events::EventProperty::to_string [0x00007FF78753A04A+290794]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF7873B7D31+497697]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF7873B0BB4+468644]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF7873B0D03+468979]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF7873A2E16+411910]
	BaseThreadInitThunk [0x00007FFAB8727374+20]
	RtlUserThreadStart [0x00007FFAB96FCC91+33]
"
2025-04-28 22:37:47.051940,Edge WebDriver initialized successfully
2025-04-28 22:38:14.424027,Edge WebDriver initialized successfully
2025-04-28 22:38:14.428125,Driver initialized
2025-04-28 22:38:17.308070,Driver initialized
2025-04-28 22:38:17.334018,Function executed successfully for element body.
2025-04-28 22:38:17.336747,Browser opened.
2025-04-28 22:38:19.341084,Driver initialized
2025-04-28 22:38:21.395889,Function executed successfully for element iframe.
2025-04-28 22:38:21.422581,Driver initialized
2025-04-28 22:38:21.502542,Function executed successfully for element iFrameId_1745851096918.
2025-04-28 22:38:32.099772,Driver initialized
2025-04-28 22:38:32.194471,Function executed successfully for element content_frame.
2025-04-28 22:38:32.209734,Driver initialized
2025-04-28 22:38:52.288757,"Timeout occurred while waiting for //*[@acf=""Hndl""] to load."
2025-04-28 22:38:52.292974,Driver initialized
2025-04-28 22:38:52.368416,"Function executed successfully for element //*[@acf=""PNext""]."
2025-04-28 22:38:53.863496,Driver initialized
2025-04-28 22:38:53.926854,"Function executed successfully for element //*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""9""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]."
2025-04-28 22:38:55.170059,"Element '//*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""9""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]' clicked."
2025-04-28 22:39:00.195330,Driver initialized
2025-04-28 22:39:02.290704,Function executed successfully for element content_frame.
2025-04-28 22:39:07.824632,Driver initialized
2025-04-28 22:39:07.861398,"Function executed successfully for element //*[@class=""lsPageHeaderTitle--text-overflow""]."
2025-04-28 22:39:08.012007,Driver initialized
2025-04-28 22:39:08.034442,Function executed successfully for element iframe.
2025-04-28 22:39:08.059068,Driver initialized
2025-04-28 22:39:08.122409,Function executed successfully for element content_frame.
2025-04-28 22:39:08.138190,Driver initialized
2025-04-28 22:39:08.190409,"Function executed successfully for element //*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""8""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]."
2025-04-28 22:39:08.409060,"Element '//*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""8""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]' clicked."
2025-04-28 22:39:13.444438,Driver initialized
2025-04-28 22:39:13.527876,Function executed successfully for element content_frame.
2025-04-28 22:39:18.865437,Driver initialized
2025-04-28 22:39:18.892545,"Function executed successfully for element //*[@class=""lsPageHeaderTitle--text-overflow""]."
2025-04-28 22:39:19.021891,Driver initialized
2025-04-28 22:39:19.043884,Function executed successfully for element iframe.
2025-04-28 22:39:19.060570,Driver initialized
2025-04-28 22:39:19.110412,Function executed successfully for element content_frame.
2025-04-28 22:39:19.126384,Driver initialized
2025-04-28 22:39:19.181348,"Function executed successfully for element //*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""7""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]."
2025-04-28 22:39:19.467242,"Element '//*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""7""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]' clicked."
2025-04-28 22:39:24.500561,Driver initialized
2025-04-28 22:39:24.575663,Function executed successfully for element content_frame.
2025-04-28 22:39:30.000586,Driver initialized
2025-04-28 22:39:30.026249,"Function executed successfully for element //*[@class=""lsPageHeaderTitle--text-overflow""]."
2025-04-28 22:39:30.169598,Driver initialized
2025-04-28 22:39:30.194508,Function executed successfully for element iframe.
2025-04-28 22:39:30.212892,Driver initialized
2025-04-28 22:39:30.279780,Function executed successfully for element content_frame.
2025-04-28 22:39:30.299764,Driver initialized
2025-04-28 22:39:30.367589,"Function executed successfully for element //*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""6""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]."
2025-04-28 22:39:30.616369,"Element '//*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""6""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]' clicked."
2025-04-28 22:39:35.639339,Driver initialized
2025-04-28 22:39:35.721449,Function executed successfully for element content_frame.
2025-04-28 22:39:41.155638,Driver initialized
