Timestamp,Message
2025-04-27 20:52:49.434620,Edge WebDriver initialized successfully
2025-04-27 20:56:52.619909,Edge WebDriver initialized successfully
2025-04-27 21:00:11.544217,Edge WebDriver initialized successfully
2025-04-27 21:00:11.544828,Driver initialized
2025-04-27 21:00:11.592983,"Error during automation: Message: invalid argument
  (Session info: MicrosoftEdge=135.0.3179.98)
Stacktrace:
	GetHandleVerifier [0x00007FF6E0DD7A55+24981]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF6E0D2AC60+444240]
	(No symbol) [0x00007FF6E0AFBB20]
	(No symbol) [0x00007FF6E0AEC192]
	(No symbol) [0x00007FF6E0AEABB5]
	(No symbol) [0x00007FF6E0AEB12C]
	(No symbol) [0x00007FF6E0AFF18A]
	(No symbol) [0x00007FF6E0B86E6E]
	(No symbol) [0x00007FF6E0B6909A]
	(No symbol) [0x00007FF6E0B3E13D]
	(No symbol) [0x00007FF6E0B867E8]
	(No symbol) [0x00007FF6E0B68E03]
	(No symbol) [0x00007FF6E0B3D686]
	(No symbol) [0x00007FF6E0B3CB92]
	(No symbol) [0x00007FF6E0B3D4B3]
	(No symbol) [0x00007FF6E0C3900D]
	Microsoft::Applications::Events::EventProperty::~EventProperty [0x00007FF6E0C46943+41539]
	Microsoft::Applications::Events::EventProperty::~EventProperty [0x00007FF6E0C3FC79+13689]
	Microsoft::Applications::Events::EventProperty::to_string [0x00007FF6E0EBA04A+290794]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF6E0D37D31+497697]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF6E0D30BB4+468644]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF6E0D30D03+468979]
	Microsoft::Applications::Events::ILogConfiguration::operator* [0x00007FF6E0D22E16+411910]
	BaseThreadInitThunk [0x00007FF921447374+20]
	RtlUserThreadStart [0x00007FF9232DCC91+33]
"
2025-04-27 21:17:51.306066,Edge WebDriver initialized successfully
2025-04-27 21:35:32.541383,Edge WebDriver initialized successfully
2025-04-27 21:46:29.205843,Edge WebDriver initialized successfully
2025-04-27 22:01:55.990023,Edge WebDriver initialized successfully
2025-04-27 22:04:25.336743,Edge WebDriver initialized successfully
2025-04-27 22:13:29.292008,Edge WebDriver initialized successfully
2025-04-27 22:51:41.050283,Edge WebDriver initialized successfully
2025-04-27 23:14:26.831341,Edge WebDriver initialized successfully
2025-04-28 00:24:50.392532,Error initializing Edge WebDriver: WebDriver.__init__() got an unexpected keyword argument 'executable_path'
2025-04-28 22:42:17.944849,Edge WebDriver initialized successfully
